unique_id,reactA,reactAT,reactB,reactBT,reactC,reactCT,reactD,reactDT,pc,reactScheme,coating,supports,supportsCat,batchmass,dp,pV,areaSSA,particlesize,processpressure,flow,pretreat_medium,pretreat_T,A_dosing,A_T,B_dosing,B_T,C_dosing,C_T,D_dosing,D_T,cycles,GPC
477,TMA,RT,,,,,,,N2,A,Al*,SiO2,MO,6,,1.5,,20-64,3-5,50,air (N2),600,360,250,,,,,,,1,
478,Cp2ZrCl2,230,,,,,,,N2,A,Zr*,SiO2,MO,6,,1.7,340,37,3-5,50,air (N2),350,120,300,,,,,,,1,
479,Cp2ZrCl2,230,,,,,,,N2,A,Zr*,SiO2,MO,6,,1.7,340,37,3-5,50,air (N2),600,120,300,,,,,,,1,
480,VO(acac)2,160-180,O2 (air),,O2,,,,N2,A-(B1-B2),VOx,SiO2,MO,1-2,,,208,0.012,1-3,,air (N2),250 (250),,160-190,360,350,,,,,,
481,VO(acac)2,160-180,O2 (air),,O2,,,,N2,A-(B1-B2),VOx,Al2O3,MO,1-2,,,108,0.02,1-3,,air (N2),250 (250),,160-190,360,350,,,,,,
482,Pd(tmhd)2,180,,,,,,,N2,A,Pd,SiO2,MO,,18,1.9,420,,5-10,,air (N2),200 (200),,180,,,,,,,,
483,Pd(tmhd)2,180,,,,,,,N2,A,Pd,Al2O3,MO,,18,0.5,114,,5-10,,air (N2),200 (200),,180,,,,,,,,
484,Ru(tmhd)3,180,,,,,,,N2,A,Ru,SiO2,MO,,18,1.9,420,,5-10,,air (N2),200 (200),,180,,,,,,,,
485,Ru(tmhd)3,180,,,,,,,N2,A,Ru,Al2O3,MO,,18,0.5,114,,5-10,,air (N2),200 (200),,180,,,,,,,,
486,TiCl4,,H2O,,,,,,,A-B,TiOx,SiO2,MO,,14,,250,,,,,,,,,,,,,,,
487,TiCl4,,H2O,,VOCl3,,,,,(A-B)-(C-B),VTiOx,SiO2,MO,,14,,,,,,,,,,,,,,,,,
488,TiCl4,,H2O,,CrO2Cl2,,,,,(A-B)-(C-B),CrTiOx,SiO2,MO,,14,,,,,,,,,,,,,,,,,
489,PCl3,,Cl2,,H2O,,,,,A-B-C,POx,SiO2,MO,,14,,,,,,,,,,,,,,,,,
490,PCl3,,Cl2,,H2O,,VOCl3,,,(A-B-C)-(D-C),VPOx,SiO2,MO,,14,,,,,,,,,,,,,,,,,
491,CrO2Cl2,,H2,,,,,,,A-B,Cr,SiO2,MO,,14,,,,,,,,,,,,,,,,,
492,CrO2Cl2,,H2,,VOCl3,,H2O,,,(A-B)-(C-D),VCrOx,SiO2,MO,,14,,,,,,,,,,,,,,,,,
493,CrO2Cl2,,H2,,TiCl4,,H2O,,,(A-B)-(C-D),TiCrOx,SiO2,MO,,14,,,,,,,,,,,,,,,,,
494,AAPS,130,,,,,,,,A,NSi*,SiO2,MO,4-5,20,1.2,300,100,2-5,,,200 (180),,180,,,,,,,1,
495,AAPS,130,,,,,,,,A,NSi*,SiO2,MO,4-5,20,1.2,300,100,2-5,,,450 (180),,180,,,,,,,1,
496,AAPS,130,,,,,,,,A,NSi*,SiO2,MO,4-5,20,1.2,300,100,2-5,,,600 (180),,180,,,,,,,1,
497,AAPS,130,,,,,,,,A,NSi*,SiO2,MO,4-5,20,1.2,300,100,2-5,,,800 (180),,180,,,,,,,1,
498,AAPS,130,H2O,,,,,,,A-B,NSiOx,SiO2,MO,10,20,1.2,300,100,2-5,,,800 (180),,180,,150,,,,,1,
499,AAPS,130,H2O,,,,,,,A-B,NSiOx,SiO2,MO,10,20,1.2,300,100,2-5,,,800 (180),,180,,150,,,,,2,
500,AAPS,130,H2O,,,,,,,A-B,NSiOx,SiO2,MO,10,20,1.2,300,100,2-5,,,800 (180),,180,,150,,,,,3,
501,AAPS,130,H2O,,,,,,,A-B,NSiOx,SiO2,MO,10,20,1.2,300,100,2-5,,,800 (180),,180,,150,,,,,4,
502,AAPS,130,H2O,,,,,,,A-B,NSiOx,SiO2,MO,10,20,1.2,300,100,2-5,,,800 (180),,180,,150,,,,,5,
503,AAPS,130,H2O,,,,,,,A-B,NSiOx,SiO2,MO,10,20,1.2,300,100,2-5,,,800 (180),,180,,150,,,,,6,
504,APTS,110,H2O,,,,,,Ar,A-B,NSiOx,PdCoNi/TiO2,SM,,,,,3.5,2-5,,,150-180,0.2,,0.2,150,,,,,1,
505,APTS,110,H2O,,,,,,Ar,A-B,NSiOx,PdCoNi/TiO2,SM,,,,,3.5,2-5,,,150-180,0.2,,0.2,150,,,,,2,
506,APTS,110,H2O,,,,,,Ar,A-B,NSiOx,PdCoNi/TiO2,SM,,,,,3.5,2-5,,,150-180,0.2,,0.2,150,,,,,4,
507,APTS,110,H2O,,,,,,Ar,A-B,NSiOx,PdCoNi/TiO2,SM,,,,,3.5,2-5,,,150-180,0.2,,0.2,150,,,,,6,
508,APTS,110,H2O,,,,,,Ar,A-B,NSiOx,PdCoNi/TiO2,SM,,,,,3.5,2-5,,,150-180,0.2,,0.2,150,,,,,10,
509,APTS,110,H2O,,,,,,Ar,A-B,NSiOx,PdCoNi/TiO2,SM,,,,,3.5,2-5,,,150-180,0.2,,0.2,150,,,,,20,
510,Ru3(CO)12,135,bipy,100,,,,,CO,A-B,bipyRu*,SiO2,MO,,,,,,101.325,200-300,,,,135,,100,,,,,,
511,Ni(acac)2,,,,,,,,,A,Ni*,Al2O3,MO,,,,,150-350,,,,,,,,,,,,,,
512,APDMES,,,,,,,,,A,NSi*,SiO2,MO,2,,,,,,,,600,,,,,,,,,1,
513,APDMES,,,,,,,,,A,NSi*,SiO2,MO,,,,,,,,,600,,,,,,,,,1,
514,APDMES,,,,,,,,,A,NSi*,SiO2,MO,,,,,,,,,600,,,,,,,,,1,
515,APDMES,,,,,,,,,A,NSi*,SiO2,MO,,,,,,,,,600,,280,,,,,,,1,
516,APDMES,,,,,,,,,A,NSi*,SiO2,MO,,,,,,,,,820,,280,,,,,,,1,
517,Cu(tmhd)2,,O2 (air),,H2,,,,N2,A-B-C,Cu,SiO2,MO,2-3,,,300,,,,N2,400,480,190,300,300,,,300,300,1,
518,Cu(tmhd)2,,O2 (air),,H2,,,,N2,A-B-C,Cu,SiO2,MO,2-3,,,300,,,,N2,400,480,190,300,300,300,25-700,300,500,1,
519,Cu(tmhd)2,,O2 (air),,H2,,,,N2,A-B-C,Cu,SiO2,MO,2-3,,,300,,,,N2,400,480,190,300,500,300,500,,,1,
520,TiCl4,23,H2O2,23,,,,,N2,A-B,TiOx,Fe+AlN shell,MN,,,,,0.05-0.08,,,,,,100,,100,,,,,150,0.03 nm
521,TMA,23,NH3,23,,,,,N2,A-B,AlN,Fe,M,,,,,0.05-0.08,,,,,,250,,250,,,,,100,0.05 nm
522,MeCpPtMe3,80,O2,,,,,,N2,A-B,Pt,TiO2,MO,2,,,50,0.025,,,,,3.333333333,150-400,10,150-400,,,,,1-20,
523,TMA,,H2O,,,,,,N2,A-B,AlOx,LiCoO2,MO,,,,,,0.1333,,,,,180,,180,,,,,20,0.22 nm
524,DEZ,,H2O,,,,,,N2,A-B,ZnOx,LiCoO2,MO,,,,,,0.1333,,,,,180,,180,,,,,,
525,TMA,,H2O,,,,,,,A-B,AlOx,LiCoO2,MO,,,,,,0.1333,,,,,180,,180,,,,,5-20,
526,NO2,,TMA,,H2O,,,,,(A-B)-(B-C),AlOx,"NG, natural graphite",C,,,,,,0.1333,,,,,,,,,180,,180,5-20,
527,HMDS,50,,,,,,,N2,A,Si*,SiO2,MO,5-8,,,300,100,,,,200-820,,175,,,,,,,1,
528,HMDS,50,O2 (air),,,,,,N2,A-B,SiOx,SiO2,MO,5-8,,,300,100,,,,560,,175,240,400,,,,,1,
529,HMDS,50,O2 (air),,,,,,N2,A-B,SiOx,SiO2,MO,5-8,,,300,100,,,,560,,175,240,420,,,,,1,
530,HMDS,50,O2 (air),,,,,,N2,A-B,SiOx,SiO2,MO,5-8,,,300,100,,,,560,,175,240,450,,,,,1,
531,HMDS,50,O2 (air),,,,,,N2,A-B,SiOx,SiO2,MO,5-8,,,300,100,,,,560,,175,240,500,,,,,1,
532,HMDS,50,Cr(acac)3,190-200,O2 (air),,,,N2,A-B-C,CrSiOx,SiO2,MO,5-8,,,300,100,,,,450,,175,,200,240,400,,,1,
533,HMDS,50,Cr(acac)3,190-200,O2 (air),,,,N2,A-B-C,CrSiOx,SiO2,MO,5-8,,,300,100,,,,560,,175,,200,240,400,,,1,
534,HMDS,50,Cr(acac)3,190-200,O2 (air),,,,N2,A-B-C,CrSiOx,SiO2,MO,5-8,,,300,100,,,,650,,175,,200,240,400,,,1,
535,Zn(acac)2,120,O2 (air),,,,,,N2,A-B,ZnOx,ZrO2,MO,,,,70,250-420,0.3,,,250,,200,,,,,,,1,
536,Zn(acac)2,120,O2 (air),,,,,,N2,A-B,ZnOx,Cu/ZrO2,MO,,,,,,0.3,,,250,,200,,,,,,,1,
537,Zn(acac)2,120,O2 (air),,,,,,N2,A-B,ZnOx,Cu/Zn/ZrO2,MO,,,,,,0.3,,,250,,200,,,,,,,1,
538,Ni(acac)2,200,O2,,,,,,Ar,A-B,NiOx,MoOx/γ-Al2O3(Mo3.5),MO,,,,,,101.325,200,Ar,200,120,140-200,120,400,,,,,,
539,Ni(acac)2,200,O2,,,,,,Ar,A-B,NiOx,MoOx/γ-Al2O3(Mo6),MO,,,,,,101.325,200,Ar,200,120,140-200,120,400,,,,,,
540,Ni(acac)2,200,O2,,,,,,Ar,A-B,NiOx,MoOx/γ-Al2O3(Mo9),MO,,,,,,101.325,200,Ar,200,120,140-200,120,400,,,,,,
541,Ni(acac)2,200,O2,,,,,,Ar,A-B,NiOx,MoOx/γ-Al2O3(Mo14),MO,,,,,,101.325,200,Ar,200,120,140-200,120,400,,,,,,
542,Ni(acac)2,200,O2,,,,,,Ar,A-B,NiOx,γ-Al2O3,MO,,,,,,101.325,200,Ar,200,120,140-200,120,400,,,,,,
543,TMA,RT,H2O,RT,,,,,Ar,A-B,AlOx,Ni0.83Co0.11Mn0.06(OH)2,MO,,,,,,,,,,0.008,115,0.008,115,,,,,0-125,
544,Ga(acac)3,,O3,,,,,,Ar,A-B,GaOx,γ-Al2O3,MO,0.5,,0.55,207,125-300,,120,Ar,230,300,160-400,180,350,,,,,1,
545,Ga(acac)3,,,,,,,,Ar,A,Ga*,γ-Al2O3,MO,0.5,,0.55,207,125-300,,,,,,,,,,,,,2,
546,Ga(acac)3,,,,,,,,Ar,A,Ga*,γ-Al2O3,MO,0.5,,0.55,207,125-300,,,,,,,,,,,,,3,
547,TEMAV,60-65,H2O,RT,,,,,N2,A-B,VOx,SiO2,MO,,,,,,0.133,160,,,,150,,150,,,,,,
548,TMA,,H2O,,,,,,N2,A-B,AlOx,BA2-EuDy phosphor,MO,,,,,,0.02-0.027,10,,,0.00025,150,0.00025,150,,,,,80,0.125 nm
549,TMA,,H2O,,,,,,,A-B,AlOx,Bi2Te2.7Se0.3,M,8,,,,,,,,,1,150,1,150,,,,,0-20,0.11 nm
550,Sb(OEt)3,,SbCl5,,,,,,N2,A-B,SbOx,Bi2Te3 ,M,,,,,,,20,,,0.008,100,0.008,100,,,,,,0.48Å
551,TDMAZ,75,H2O,RT,,,,,,A-B,ZrOx,LiNixCoyMn1-x-yO2,MO,,,,,,,,,,,,,,,,,,,
552,TDMAZ,75,H2O,RT,,,,,,A-B,ZrOx,not specified,na,,,,,,,,,,,,,,,,,,,
553,LiOtBu,170,NbOEt,180,,,,,Ar,A-B,NbOx,LiNi0.8Co0.1Mn0.1O2,MO,,,,,D50=2.8,,,O2,500/750,0.033,220,0.033,220,,,,,6,1 nm
554,TMA,,H2O,,,,,,,A-B,AlOx,PH25/S/C11,org,,,,0.32,<106,,,,,,35,,35,,,,,,0.4-1 nm
555,TMA,,H2O,,,,,,,A-B,AlOx,PH25/L/C11,org,,,,0.12,106-250,,,,,,35,,35,,,,,,1 nm
556,TMA,,H2O,,,,,,,A-B,AlOx,PH25/L/C23,org,,,,0.12,106-250,,,,,,35,,35,,,,,,1 nm
557,TMA,,H2O,,,,,,,A-B,AlOx,PH25/L/C39,org,,,,0.12,106-250,,,,,,35,,35,,,,,,0.4-1 nm
558,TMA,,H2O,,,,,,,A-B,AlOx,PH50/S/C12,org,,,,0.48,<106,,,,,,35,,35,,,,,,0.4-1 nm
559,TMA,,H2O,,,,,,,A-B,AlOx,PH50/S/C26,org,,,,0.48,<106,,,,,,35,,35,,,,,,<0.4 nm
560,TMA,,H2O,,,,,,,A-B,AlOx,PH50/L/C13,org,,,,0.15,106-250,,,,,,35,,35,,,,,,1 nm
561,TMA,,H2O,,,,,,,A-B,AlOx,PH50/L/C36,org,,,,0.15,106-250,,,,,,35,,35,,,,,,1 nm
562,TTIP,90,H2O,RT,,,,,N2,A-B,TiOx,γ-alumina,MO,3,<12,,271,125-300,101.325,800,N2,180,90,180,60,180,,,,,1,0.07 nm
563,TTIP,90,H2O,RT,,,,,N2,A-B,TiOx,γ-alumina,MO,3,<12 ,,271,125-300,,,,,,,,,,,,,2,0.07 nm
564,TTIP,90,H2O,RT,,,,,N2,A-B,TiOx,γ-alumina,MO,3,<12 ,,271,125-300,,,,,,,,,,,,,3,0.07 nm
565,TTIP,40,H2O,RT,,,,,N2,A-B,TiOx,BiVO4,MO,,,,,,,,,,,200,,200,,,,,50-1500,0.1 nm
566,TMA,RT,H2O,RT,,,,,N2,A-B,AlOx,CuO-ZnO powder,MO,0.1,,,,,0.0005,,,,0.0017,200,0.0017,200,,,,,10,1.2 Å
567,TMA,,H2O,,,,,,N2,A-B,AlOx,Semi fine acetaminophen,org,,,,0.39,6-57.5,0.001,,vacuum,,,RT,,RT,,,,,,
568,DEZ,,H2O,,,,,,N2,A-B,ZnOx,Semi fine acetaminophen,org,,,,0.39,6-57.5,0.001,,vacuum,,,RT,,RT,,,,,,
569,TMA,,H2O,,,,,,N2,A-B,AlOx,Micronized acetaminophen,org,,,,0.71,3.5-33.1,0.001,,vacuum,,,RT,,RT,,,,,,
570,TiCl4,,H2O,,,,,,N2,A-B,TiOx,Ibuprofen,org,,,,0.18,3.2-27.8,0.001,,vacuum,,,RT,,RT,,,,,,
571,TMA,,H2O,,,,,,N2,A-B,AlOx,Theophylline,org,,,,0.57,20.7-61.8,0.001,,vacuum,,,RT,,RT,,,,,,
572,TMA,,H2O,,,,,,N2,A-B,AlOx,Metformin.HCl,org,,,,0.11,6.6-106,0.001,,vacuum,,,RT,,RT,,,,,,
573,Pd(hfac)2,60,H2 plasma,,Cu(amd),90,,,Ar,(A-B)-(C-B),CuPd,ASM powder,MO,1,,,287,250-400,0.0001,50 sccm,,200,0.083,80,0.167,80,0.083,80,0.167,80,25-200,"0.4 mg/g Pd, 0.05 mg/g Cu"
574,MeCpPtMe3,70,O2,,,,,,N2,A-B,Pt,alumina ,MO,4,,,,150-500,101.325,500,air,120,10,300,10,300,,,,,1-5,1.23 wt% 
575,MeCpPtMe3,70,O2,,,,,,N2,A-B,Pt,not specified,na,,,,,,,,,,20,,,,,,,,,
576,MeCpPtMe3,80,O2,,,,,,Ar,A-B,Pt,alumina ,MO,,,,,5,,50 sccm,,,0.0083-0.042,300,0.083,300,,,,,,
577,MeCpPtMe3,80,O2,,,,,,Ar,A-B,Pt,not specified,na,,,,,,,50 sccm,,,0.0083,200-400,0.083,200-400,,,,,,
578,MeCpPtMe3,80,O2,,,,,,Ar,A-B,Pt,not specified,na,,,,,,,50 sccm,,,0.0083,300,0.083-0.42,300,,,,,,
579,TMA,30,O3,RT,,,,,N2,A-B,AlOx,budesonide ,org,5,,,,,101.325,1000,,,1,40,1,40,,,,,10,2 nm
580,SiCl4,RT,H2O,RT,,,,,N2,A-B,SiOx,budesonide ,org,5,,,,,101.325,1000,,,0.5,40,1,40,,,,,10,0.15 nm
581,TiCl4,RT,H2O,RT,,,,,N2,A-B,TiOx,budesonide ,org,5,,,,,101.325,1000,,,0.25,40,1,40,,,,,10,0.3 nm
582,TC,100,EG,100,,,,,N2,A-B,PET,budesonide ,org,5,,,,,101.325,1000,,,1,150,1,150,,,,,50,0.03 nm
583,TiCl4,RT,EG,100,,,,,N2,A-B,Titanicone,budesonide ,org,8,,,,,101.325,2000,,,0.5,120,1.5,120,,,,,10,0.45 nm
584,Zn(acac)2,,O2 (air),,,,,,N2,A-B,ZnOx,ZrO2 (400),MO,2,9.8,0.34,99.2,250-420,,,N2,250,180,200,120,500,,,,,,
585,Zn(acac)2,,O2 (air),,,,,,N2,A-B,ZnOx,ZrO2 (600),MO,2,16.6,0.26,53.5,250-420,,,N2,250,180,200,120,500,,,,,,
586,Zn(acac)2,,O2 (air),,,,,,N2,A-B,ZnOx,ZrO2 (800),MO,2,26,0.19,28.6,250-420,,,N2,250,180,200,120,500,,,,,,
587,Zn(acac)2,,O2 (air),,,,,,N2,A-B,ZnOx,ZrO2 (1000),MO,2,8,0.033,14.5,250-420,,,N2,250,180,200,120,500,,,,,,
588,Zn(acac)2,,O2 (air),,,,,,N2,A-B,ZnOx,ZrO2 (600),MO,2,16.6,0.26,53.5,250-420,,,N2,250,180,160,120,500,,,,,,
589,Zn(acac)2,,O2 (air),,,,,,N2,A-B,ZnOx,ZrO2 (600),MO,2,16.6,0.26,53.5,250-420,,,N2,250,180,180,120,500,,,,,,
590,Zn(acac)2,,O2 (air),,,,,,N2,A-B,ZnOx,ZrO2 (600),MO,2,16.6,0.26,53.5,250-420,,,N2,250,180,220,120,500,,,,,,
591,Zn(acac)2,,O2 (air),,,,,,N2,A-B,ZnOx,ZrO2 (600),MO,2,16.6,0.26,53.5,250-420,,,N2,250,180,240,120,500,,,,,,
592,TTIP,,H2O,,,,,,N2,A-B,TiOx,Si/SiO2,MO,,,,,0.1,101.325,,,,3,150,1,150,,,,,25,
593,TTIP,,H2O,,,,,,N2,A-B,TiOx,Si/SiO2,MO,,,,,,,,,,,,,,,,,,125,
594,TMG,RT,H2O,,,,,,Ar,A-B,GaOx,SiO2,MO,,6,0.79,505,250-500,101.325,50/100,,,,150,,150,,,,,1-3,0.7 Å
595,TMI,80,H2O,,,,,,Ar,A-B,InOx,SiO2,MO,,6,0.79,505,250-500,101.325,50/100,,,,150,,150,,,,,1-3,1.5 Å
596,SiCl4,RT,H2O,RT,,,,,N2,A-B,SiOx,TiO2,MO,,,,54,0.021,101.325,500,,,0.5,100,0.5,100,,,,,1-40,
597,TMSiOH,,TMA,,O3,,,,N2,A-B-C,AlSiOx,silica,MO,0.2,22,,550,,,,,200,2,400,,,5,400,5,400,1-10,"40 ng/(cm2 cycle) for Al2O3, 0.65 ng/(cm2 cycle) for SiO2"
598,H2O,,TMSiOH,,TMA,,O3,,N2,A-B-C-D,AlSiOx,silica,MO,0.2,22,,550,,,,,200,2,400,2,400,5,400,5,400,,
599,TMA,,H2O,,,,,,,A-B,AlOx,palbociclib ,org,,,,,,,,,,10,35,10,35,,,,,50,
600,TMA,,H2O,,,,,,,A-B,AlOx, pazopanib HCl,org,,,,,,,,,,10,35,10,35,,,,,50,
601,TiCl4,,H2O,,,,,,,A-B,TiOx,palbociclib ,org,,,,,,,,,,10,35,10,35,,,,,100,
602,TiCl4,,H2O,,,,,,,A-B,TiOx, pazopanib HCl,org,,,,,,,,,,10,35,10,35,,,,,100,
603,TMA,,H2O,,,,,,,A-B,AlOx,FeS / MoS2,MS,,,,,,,,,,,170,,170,,,,,40,0.11 nm
604,SbCl5,40,H2O2,RT,,,,,N2; Ar,A-B,SbOx,Bi,M,2,,,,,0.027,,,,0.005,100,0.017,100,,,,,"5,10,20,40",
605,TDMAZ,,H2O,,,,,,,A-B,ZrOx,LiFePO4,MO,,,,,,,,,,,200,,200,,,,,"2,5,10",0.15 nm (10 cycle)
606,DEZ,,H2O,,,,,,,A-B,ZnOx,Bi2Te3,M,,,,,1.9-14,,,,,0.017,100,0.017,100,,,,,100,
607,DEZ,,H2O,,,,,,,A-B,ZnOx,Bi2Te3,M,,,,,1.9-14,,,,,0.008,100,0.008,100,,,,,100,
608,TMA,RT,H2O,,,,,,Ar ,A-B,AlOx,LiMn2O4,MO,1,,,,,0.133,150,air,400,,200,,200,,,,,,13.3 area/cycle
609,DMAI,70,H2O,,,,,,Ar ,A-B,AlOx,LiMn2O4,MO,1,,,,,0.133,150,air,400,,200,,200,,,,,,9.16 area/cycle
610,TDMAA,85,H2O,,,,,,Ar ,A-B,AlOx,LiMn2O4,MO,1,,,,,0.133,150,air,400,,200,,200,,,,,,9.9 area/cycle
611,AlCl3,90,H2O,,,,,,Ar ,A-B,AlOx,LiMn2O4,MO,1,,,,,0.133,150,air,400,,200,,200,,,,,,3.14 area/cycle
612,AIP,130,H2O,,,,,,Ar ,A-B,AlOx,LiMn2O4,MO,1,,,,,0.133,150,air,400,,200,,200,,,,,,0.94 area/cycle
613,DEZ,,H2O,,,,,,N2,A-B,ZnOx,SnSe,M,,,,,,,,,,0.0083,100,0.0083,100,,,,,10,0.6 nm
614,DEZ,,H2O,,,,,,N2,A-B,ZnOx,not specified,na,,,,,,,,,,,,,,,,,,40,0.375 nm
615,DEZ,,H2O,,,,,,N2,A-B,ZnOx,not specified,na,,,,,,,,,,,,,,,,,,100,0.19 nm
616,APTS,,H2O,,,,,,N2,A-B,NSiOx,SiO2,MO,,,,380,,,,,,,150,,150,,,,,"10,15",
617,TMPTA,,H2O,,,,,,N2,A-B,NSiOx,not specified,na,,,,,,,,,,,150,,150,,,,,"10,15",
618,TMA,,H2O,,,,,,N2,A-B,AlOx,N-Si-alloy,M,5,8.1,0.032,16.02,3.47,,,,,0.005,150,0.005,150,,,,,,
619,TMA,,H2O,,,,,,N2,A-B,AlOx,N-Si-alloy,M,5,8.1,0.032,16.02,3.47,,,,,0.005,150,0.005,150,,,,,,
620,La(tmhd)3,130,O2 (air),,,,,,,A-B,LaOx,MgAl2O4,MO,3,,,120,,0.0009,,,,"6,9,12",300,10,500,,,,,"1,3,5",0.017 nm
621,Fe(Cp)2,250,O2 (air),,,,,,,A-B,FeOx,MgAl2O4,MO,3,,,,,0.0009,,,,"6,9,12",300,10,500,,,,,"1,3,5",0.03 nm
622,La(tmhd)3,130,O2 (air),,Fe(Cp)2,250,,,,(A-B)-(C-B),FeLaOx,MgAl2O4,MO,3,,,,,0.0009,,,,,300,10,500,,300,10,500,7,
623,MeCpPtMe3,30,O2,,TTIP,60,H2O,,Ar,(A-B)-(C-D),TiOxPt,carbon black,C,0.4,2-3,,374.14,60-100,0.05/0.08,,,,2,300,1.5,300,1,250,1,250,15/10,
624,TTIP,60,H2O,,MeCpPtMe3,30,O2,,Ar,(A-B)-(C-D),PtTiOx,carbon black,C,0.4,2-3,,374.14,60-100,0.05/0.08,,,,1,250,1,250,2,300,1.5,300,10/15,
625,TMA,,H2O,,,,,,N2,A-B,AlOx,LiNi0.8Co0.1Mn0.1O2,MO,100,,,,,,,,,10,150,10,150,,,,,50,1.6 Å
626,MeCpPtMe3,70,O3,RT,Pd(tmhd)2,70,CH2O,RT,N2,(A-B)-(C-D),PdPt,Carbon black,C,0.5,,,,,101.325,1000,O3/N2,200,1,200,5,200,12,200,6,200,3/12,
627,Pd(hfac)2,70,CH2O,RT,MeCpPtMe3,70,O3,RT,N2,(A-B)-(C-D),PtPd,Carbon black,C,0.5,,,,,101.325,1000,O3/N2,200,12,200,6,200,1,200,5,200,12/3,
628,MeCpPtMe3,70,O3,RT,Pd(tmhd)2,70,CH2O,RT,N2,(A-B)-(C-D),PdPt,Carbon black,C,0.5,,,,,101.325,1000,O3/N2,200,1,200,5,200,12,200,6,200,1/4,
629,MeCpPtMe3,,O2,,,,,,N2,A-B,Pt,Mxene powder,MC,,,,,,,,O2,,3.33,,3.33,,,,,,,
630,TiCl4,RT,H2O,RT,,,,,N2,A-B,TiOx,Cu-SAPO-34,other,,1.625,0.2423,442,,,150,,,0.0017,300,0.0017,300,,,,,,
631,TMA,,H2O,,,,,,,A-B,AlOx,Li3InCl6,MHD,,,,4.5,5-50,0.04/1.13,,,,,,,,,,,,20,
632,LiOtBu,190,H2O,RT,TDMAZ,100,,,,(A-B)-(C-B),ZrLiOx,LiNi0.9Co0.05Mn0.05O2,MO,,,,,,,,,,,225-300,,225-300,,250,,250,3,2.4  Å
633,LiOtBu,190,H2O,RT,TDMAZ,100,,,,(A-B)-(C-B),ZrLiOx,LiNi0.9Co0.05Mn0.05O2,MO,,,,,,,,,,,225-300,,225-300,,250,,250,5,2.4  Å
634,LiOtBu,190,H2O,RT,TDMAZ,100,,,,(A-B)-(C-B),ZrLiOx,LiNi0.9Co0.05Mn0.05O2,MO,,,,,,,,,,,225-300,,225-300,,250,,250,10,2.4  Å
635,LiOtBu,190,H2O,RT,TDMAZ,100,,,,(A-B)-(C-B),ZrLiOx,LiNi0.9Co0.05Mn0.05O2,MO,,,,,,,,,,,225-300,,225-300,,250,,250,15,2.4  Å
636,LiOtBu,190,H2O,RT,TDMAZ,100,,,,(A-B)-(C-B),ZrLiOx,LiNi0.9Co0.05Mn0.05O2,MO,,,,,,,,,,,225-300,,225-300,,250,,250,50,2.4  Å
637,LiOtBu,190,H2O,RT,TDMAZ,100,,,,(A-B)-(C-B),ZrLiOx,LiNi0.9Co0.05Mn0.05O2,MO,,,,,,,,,,,225-300,,225-300,,250,,250,75,2.4  Å
638,TDMAZ,100,H2O,RT,,,,,,A-B,ZrOx,LiNi0.9Co0.05Mn0.05O3,MO,,,,,,,,,,,250,,250,,,,,100,1.5 Å
639,MeCpPtMe3,80,O2,,,,,,Ar,A-B,Pt,γ-Al2O3 ,MO,5,,,,5,,,,,0.033,360,0.5,360,,,,,200,
640,MeCpPtMe3,80,O2,,,,,,Ar,A-B,Pt,γ-Al2O3 ,MO,5,,,,5,,,,,0.033,360,0.5,360,,,,,350,
641,ZrCl4,270-280,,,,,,,N2,A,Zr*,SiO2,MO,3-6,,1.6,300,40,5-10,,,300,,300,,,,,,,1,
642,ZrCl4,270-280,H2O,,,,,,N2,A-B,ZrOx,SiO2,MO,3-6,,1.6,300,40,5-10,,,300,,300,,300,,,,,1,
643,ZrCl4,270-280,,,,,,,N2,A,Zr*,SiO2,MO,3-6,,1.6,300,40,5-10,,,600,,300,,,,,,,1,
644,ZrCl4,270-280,H2O,,,,,,N2,A-B,ZrOx,SiO2,MO,3-6,,1.6,300,40,5-10,,,600,,300,,300,,,,,1,
645,ZrCl4,270-280,,,,,,,N2,A,Zr*,SiO2,MO,3-6,,1.6,300,40,5-10,,,600,,450,,,,,,,1,
646,ZrCl4,270-280,,,,,,,N2,A,Zr*,SiO2,MO,3-6,,1.6,300,40,5-10,,,600,,600,,,,,,,1,
647,ZrCl4,270-280,H2O,,,,,,N2,A-B,ZrOx,SiO2,MO,3-6,,1.6,300,40,5-10,,,600,,600,,600,,,,,1,
648,ZrCl4,270-280,,,,,,,N2,A,Zr*,Al2O3,MO,3-6,,0.5,190,150-300 or 700-1000,5-10,,,300,,300,,,,,,,1,
649,ZrCl4,270-280,,,,,,,N2,A,Zr*,Al2O3,MO,3-6,,0.5,190,150-300 or 700-1000,5-10,,,600,,300,,,,,,,1,
650,ZrCl4,270-280,H2O,,,,,,N2,A-B,ZrOx,Al2O3,MO,3-6,,0.5,190,150-300 or 700-1000,5-10,,,600,,300,,300,,,,,1,
651,ZrCl4,270-280,H2O,,,,,,N2,A-B,ZrOx,Al2O3,MO,3-6,,0.5,190,150-300 or 700-1000,5-10,,,600,,300,,600,,,,,1,
652,ZrCl4,270-280,,,,,,,N2,A,Zr*,Al2O3,MO,3-6,,0.5,190,150-300 or 700-1000,5-10,,,600,,450,,,,,,,1,
653,ZrCl4,270-280,,,,,,,N2,A,Zr*,Al2O3,MO,3-6,,0.5,190,150-300 or 700-1000,5-10,,,600,,600,,,,,,,1,
