sample_index,paper_id,record_id,_stage,_stratum,kind,relevance,granularity,is_model_result,in_series,figure_number,fig_docling_index,panel,series_name,coordinate,measurand,n_points,has_context_conflicts,created_by_granularity_migration,has_pressure,has_temperature,has_pulse_time,has_purge_time,has_cycle_count,has_geometry
78,10.1039_d3dt01824e,10.1039_d3dt01824e-4a-S5-P001,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1039_d3dt01824e-4a-S5,4,7,a,substrate: SiO2,deposition_temperature,growth_per_cycle,1,False,True,False,True,False,False,False,True
79,10.1039_d3dt01824e,10.1039_d3dt01824e-F8a-10,quota_per_paper,unresolved_experiment_record|experimental,unresolved_experiment_record,experimental,unresolved,False,,8,11,a,etching time: ET=0 min,Binding energy,intensity,20,False,False,False,True,False,False,True,True
80,10.1039_d3ra05217f,10.1039_d3ra05217f-3a-S1-P011,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1039_d3ra05217f-3a-S1,3,7,a,precursor: Y(EtCp)3,temperature,Weight,1,False,True,True,True,False,False,False,False
81,10.1039_d3ra05217f,10.1039_d3ra05217f-3a-S1-P013,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1039_d3ra05217f-3a-S1,3,7,a,precursor: Y(EtCp)3,temperature,Weight,1,False,True,True,True,False,False,False,False
82,10.1039_d3ra05217f,10.1039_d3ra05217f-3b-S6-P003,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1039_d3ra05217f-3b-S6,3,7,b,precursor: Y(EtCp)3,temperature,Heat flow,1,False,True,False,True,False,False,False,False
83,10.1039_d3ra05217f,10.1039_d3ra05217f-8a-S7-P029,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1039_d3ra05217f-8a-S7,8,14,a,,bias_voltage,capacitance,1,False,True,False,True,False,False,False,False
84,10.1039_d3ra05217f,10.1039_d3ra05217f-8a-S7-P034,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1039_d3ra05217f-8a-S7,8,14,a,,bias_voltage,capacitance,1,False,True,False,True,False,False,False,False
85,10.1039_d3ra05217f,10.1039_d3ra05217f-8a-S7-P046,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1039_d3ra05217f-8a-S7,8,14,a,,bias_voltage,capacitance,1,False,True,False,True,False,False,False,False
86,10.1039_d3ra05217f,10.1039_d3ra05217f-8a-S7-P047,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1039_d3ra05217f-8a-S7,8,14,a,,bias_voltage,capacitance,1,False,True,False,True,False,False,False,False
87,10.1039_d3ra05217f,10.1039_d3ra05217f-F6b-14,proportional,unresolved_experiment_record|experimental,unresolved_experiment_record,experimental,unresolved,False,,6,11,b,element: C1s,Etching time,Atomic %,12,False,False,False,True,False,False,False,False
88,10.1063_1.4867469,10.1063_1.4867469-F1c-1,quota_per_paper,unresolved_experiment_record|experimental,unresolved_experiment_record,experimental,unresolved,False,,1,6,c,sample condition: 3 nm BTO as-deposited,binding_energy,Counts,30,False,False,False,True,False,False,False,False
89,10.1063_1.4867469,10.1063_1.4867469-F2a-3,quota_per_paper,unresolved_experiment_record|experimental,unresolved_experiment_record,experimental,unresolved,False,,2,7,a,series: BTO/STO/Si,2θ,intensity,46,False,False,False,True,False,False,False,False
90,10.1063_1.5028178,10.1063_1.5028178-5a-S0-P007,quota_per_paper,condition_axis|model,series_member_experiment,model,single,True,10.1063_1.5028178-5a-S0,5,13,a,model: Gordon model,pulse_time,penetration_depth,1,True,True,True,True,True,False,False,True
91,10.1063_1.5028178,10.1063_1.5028178-5a-S1-P019,proportional,condition_axis|model,series_member_experiment,model,single,True,10.1063_1.5028178-5a-S1,5,13,a,model: Approximation,pulse_time,penetration_depth,1,True,True,True,True,True,False,False,True
92,10.1063_1.5028178,10.1063_1.5028178-F4a-11,quota_per_paper,coordinate_axis|model,profile_experiment,model,profile,True,,4,12,a,channel height: 0.2 µm,spatial_coordinate,film_thickness,13,True,False,True,True,True,False,True,True
93,10.1063_1.5028178,10.1063_1.5028178-F4a-8,proportional,coordinate_axis|model,profile_experiment,model,profile,True,,4,12,a,channel height: H= 2 µm,spatial_coordinate,film_thickness,25,True,False,True,True,True,False,True,True
94,10.1116_1.4892385,10.1116_1.4892385-F2a-1,quota_per_paper,coordinate_axis|model,profile_experiment,model,profile,True,,2,8,a,precursor density: 4·10^22 m^-3,spatial_coordinate,surface_coverage,21,False,False,True,True,True,False,True,True
95,10.1116_1.4892385,10.1116_1.4892385-F5a-4,quota_per_paper,coordinate_axis|experimental,profile_experiment,experimental,profile,False,,5,12,a,"precursor density: calculated coating profile for n_P(t,z=0) = 1.0 · 10²⁰ m⁻³ and β₀ = 2 · 10⁻⁴",spatial_coordinate,film_thickness,51,False,False,True,True,True,False,True,True
96,10.1116_1.4938104,10.1116_1.4938104-12b-S4-P009,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1116_1.4938104-12b-S4,12,22,b,material: paper,exposure,C/C0,1,False,True,False,False,False,False,False,False
97,10.1116_1.4938104,10.1116_1.4938104-12b-S7-P000,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1116_1.4938104-12b-S7,12,22,b,material: Ir/TiO2/cellulose,exposure,C/C0,1,False,True,False,False,False,False,False,False
98,10.1116_1.4938104,10.1116_1.4938104-4d-S1-P000,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1116_1.4938104-4d-S1,4,9,d,"substrate and ALD temperature: Cotton Fibers, 60 °C",cycle_number,Water Contact Angle,1,False,True,False,False,False,False,True,False
99,10.1116_1.4938104,10.1116_1.4938104-4d-S3-P005,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1116_1.4938104-4d-S3,4,9,d,substrate and ALD temperature: Cellulose Films,cycle_number,Water Contact Angle,1,False,True,False,False,False,False,True,False
100,10.1116_6.0002154,10.1116_6.0002154-3a-S0-P000,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1116_6.0002154-3a-S0,3,17,a,,temperature,Weight,1,False,True,True,True,True,False,False,False
101,10.1116_6.0002154,10.1116_6.0002154-3a-S0-P004,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1116_6.0002154-3a-S0,3,17,a,,temperature,Weight,1,False,True,True,True,True,False,False,False
102,10.1116_6.0002154,10.1116_6.0002154-3a-S0-P009,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1116_6.0002154-3a-S0,3,17,a,,temperature,Weight,1,False,True,True,True,True,False,False,False
103,10.1116_6.0002154,10.1116_6.0002154-3a-S0-P017,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1116_6.0002154-3a-S0,3,17,a,,temperature,Weight,1,False,True,True,True,True,False,False,False
104,10.1116_6.0002436,10.1116_6.0002436-1b-S1-P003,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1116_6.0002436-1b-S1,1,17,b,series: SUP,pulse_time,SUP,1,False,True,True,True,True,False,False,False
105,10.1116_6.0002436,10.1116_6.0002436-2a-S4-P002,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1116_6.0002436-2a-S4,2,18,a,position: Middle GPC,deposition_temperature,growth_per_cycle,1,False,True,True,True,False,False,False,False
106,10.1116_6.0002436,10.1116_6.0002436-F5a-15,proportional,unresolved_experiment_record|experimental,unresolved_experiment_record,experimental,unresolved,False,,5,23,a,sample: 100°C (O 1s A),Binding Energy,Counts/s,19,False,False,True,False,False,False,False,False
