paper,candidate_a,candidate_b,figure_a,panel_a,figure_b,panel_b,design_id_a,design_id_b,varied_quantity_a,varied_quantity_b,branch_value_a,branch_value_b,link_class,action,strength,reason
10.1149_2.067203jes,CAND-10.114-060,CAND-10.114-077,4,c,4,g,DES::10.1149_2.067203jes::F4c::pulse_time,DES::10.1149_2.067203jes::F4g::pulse_time,pulse_time,pulse_time,2.0,2.0,SUPPORTED,MERGED,SUPPORTED,panels c/g of figure 4 plot different outputs at the same design branch pulse_time = 2 s
10.1149_2.067203jes,CAND-10.114-061,CAND-10.114-078,4,c,4,g,DES::10.1149_2.067203jes::F4c::pulse_time,DES::10.1149_2.067203jes::F4g::pulse_time,pulse_time,pulse_time,3.0,3.0,SUPPORTED,MERGED,SUPPORTED,panels c/g of figure 4 plot different outputs at the same design branch pulse_time = 3 s
10.1149_2.067203jes,CAND-10.114-062,CAND-10.114-080,4,c,4,g,DES::10.1149_2.067203jes::F4c::pulse_time,DES::10.1149_2.067203jes::F4g::pulse_time,pulse_time,pulse_time,5.0,5.0,SUPPORTED,MERGED,SUPPORTED,panels c/g of figure 4 plot different outputs at the same design branch pulse_time = 5 s
10.1149_2.067203jes,CAND-10.114-063,CAND-10.114-082,4,d,4,h,DES::10.1149_2.067203jes::F4d::purge_time,DES::10.1149_2.067203jes::F4h::purge_time,purge_time,purge_time,0.5,0.5,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1149_2.067203jes,CAND-10.114-064,CAND-10.114-083,4,d,4,h,DES::10.1149_2.067203jes::F4d::purge_time,DES::10.1149_2.067203jes::F4h::purge_time,purge_time,purge_time,1.0,1.0,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1149_2.067203jes,CAND-10.114-065,CAND-10.114-084,4,d,4,h,DES::10.1149_2.067203jes::F4d::purge_time,DES::10.1149_2.067203jes::F4h::purge_time,purge_time,purge_time,2.0,2.0,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1149_2.067203jes,CAND-10.114-085,CAND-10.114-093,5,a,5,b,DES::10.1149_2.067203jes::F5a::deposition_temperature,DES::10.1149_2.067203jes::F5b::deposition_temperature,deposition_temperature,deposition_temperature,50.0,50.0,SUPPORTED,MERGED,SUPPORTED,panels a/b of figure 5 plot different outputs at the same design branch deposition_temperature = 50 °C
10.1149_2.067203jes,CAND-10.114-086,CAND-10.114-094,5,a,5,b,DES::10.1149_2.067203jes::F5a::deposition_temperature,DES::10.1149_2.067203jes::F5b::deposition_temperature,deposition_temperature,deposition_temperature,100.0,100.0,SUPPORTED,MERGED,SUPPORTED,panels a/b of figure 5 plot different outputs at the same design branch deposition_temperature = 100 °C
10.1149_2.067203jes,CAND-10.114-087,CAND-10.114-095,5,a,5,b,DES::10.1149_2.067203jes::F5a::deposition_temperature,DES::10.1149_2.067203jes::F5b::deposition_temperature,deposition_temperature,deposition_temperature,150.0,150.0,SUPPORTED,MERGED,SUPPORTED,panels a/b of figure 5 plot different outputs at the same design branch deposition_temperature = 150 °C
10.1149_2.067203jes,CAND-10.114-088,CAND-10.114-096,5,a,5,b,DES::10.1149_2.067203jes::F5a::deposition_temperature,DES::10.1149_2.067203jes::F5b::deposition_temperature,deposition_temperature,deposition_temperature,200.0,200.0,SUPPORTED,MERGED,SUPPORTED,panels a/b of figure 5 plot different outputs at the same design branch deposition_temperature = 200 °C
10.1149_2.067203jes,CAND-10.114-089,CAND-10.114-097,5,a,5,b,DES::10.1149_2.067203jes::F5a::deposition_temperature,DES::10.1149_2.067203jes::F5b::deposition_temperature,deposition_temperature,deposition_temperature,250.0,250.0,SUPPORTED,MERGED,SUPPORTED,panels a/b of figure 5 plot different outputs at the same design branch deposition_temperature = 250 °C
10.1149_2.067203jes,CAND-10.114-090,CAND-10.114-098,5,a,5,b,DES::10.1149_2.067203jes::F5a::deposition_temperature,DES::10.1149_2.067203jes::F5b::deposition_temperature,deposition_temperature,deposition_temperature,300.0,300.0,SUPPORTED,MERGED,SUPPORTED,panels a/b of figure 5 plot different outputs at the same design branch deposition_temperature = 300 °C
