paper,source_a,source_b,link_class,verdict,strength,positive_evidence,material_compatible,process_step_compatible,varied_quantity_compatible,condition_contradiction,contradiction_detail,decision_status,decision_note,a_case_id,b_case_id,superseded_conditions,reason
10.1038_am.2016.182,CAND-10.103-023,CAND-10.103-033,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.103-065,ok,ok,ok,none,-,APPLIED,-,CASE-10.103-023,CASE-10.103-023,-,"panels a/b of figure 2 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=Pt) = 250"
10.1038_am.2016.182,CAND-10.103-024,CAND-10.103-034,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.103-066,ok,ok,ok,none,-,APPLIED,-,CASE-10.103-024,CASE-10.103-024,-,"panels a/b of figure 2 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=Pt) = 275"
10.1038_am.2016.182,CAND-10.103-025,CAND-10.103-032,-,BLOCKED,SUPPORTED,EV-10.103-069,ok,ok,ok,CONTRADICTS,precursor MeCpPtMe3  vs HDMP ,ACTIVE_CONTRADICTION,-,CASE-10.103-025,CASE-10.103-021,-,contradictory case-defining conditions
10.1038_am.2016.182,CAND-10.103-025,CAND-10.103-035,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.103-070,ok,ok,ok,none,-,APPLIED,-,CASE-10.103-025,CASE-10.103-025,-,"panels a/b of figure 2 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=Pt) = 300"
10.1038_am.2016.182,CAND-10.103-036,CAND-10.103-016,-,MERGED,SUPPORTED,EV-10.103-052,ok,ok,ok,none,-,APPLIED,-,CASE-10.103-016,CASE-10.103-016,-,"the caption of figure 2 enumerates deposition_temperature = 100, 300, which figure 2 also reports"
10.1038_am.2016.182,CAND-10.103-036,CAND-10.103-027,-,ALREADY_LINKED,SUPPORTED,EV-10.103-053,ok,ok,ok,none,-,APPLIED,-,CASE-10.103-016,CASE-10.103-016,-,
10.1038_am.2016.182,CAND-10.103-037,CAND-10.103-021,-,MERGED,SUPPORTED,EV-10.103-054,ok,ok,ok,none,-,APPLIED,-,CASE-10.103-021,CASE-10.103-021,-,"the caption of figure 2 enumerates deposition_temperature = 100, 300, which figure 2 also reports"
10.1038_am.2016.182,CAND-10.103-037,CAND-10.103-025,-,BLOCKED,SUPPORTED,EV-10.103-055,ok,ok,ok,CONTRADICTS,precursor HDMP  vs MeCpPtMe3 ,ACTIVE_CONTRADICTION,-,CASE-10.103-021,CASE-10.103-025,-,contradictory case-defining conditions
10.1038_am.2016.182,CAND-10.103-037,CAND-10.103-032,-,ALREADY_LINKED,SUPPORTED,EV-10.103-056,ok,ok,ok,none,-,APPLIED,-,CASE-10.103-021,CASE-10.103-021,-,
10.1038_am.2016.182,CAND-10.103-037,CAND-10.103-035,-,BLOCKED,SUPPORTED,EV-10.103-057,ok,ok,ok,CONTRADICTS,precursor HDMP  vs MeCpPtMe3 ,ACTIVE_CONTRADICTION,-,CASE-10.103-021,CASE-10.103-025,-,contradictory case-defining conditions
10.1149_2.067203jes,CAND-10.114-040,CAND-10.114-117,-,BLOCKED,EXPLICIT,EV-10.114-120,ok,ok,ok,CONTRADICTS,deposition_temperature 50 °c vs 200 °c,ACTIVE_CONTRADICTION,-,CASE-10.114-001,CASE-10.114-002,-,contradictory case-defining conditions
10.1149_2.067203jes,CAND-10.114-041,CAND-10.114-117,-,MERGED,EXPLICIT,EV-10.114-121,ok,ok,ok,none,-,APPLIED,-,CASE-10.114-002,CASE-10.114-002,-,explicit 'same_sample' citing figure 3
10.1149_2.067203jes,CAND-10.114-042,CAND-10.114-117,-,BLOCKED,EXPLICIT,EV-10.114-122,ok,ok,ok,CONTRADICTS,deposition_temperature 250 °c vs 200 °c,ACTIVE_CONTRADICTION,-,CASE-10.114-003,CASE-10.114-002,-,contradictory case-defining conditions
10.1149_2.067203jes,CAND-10.114-043,CAND-10.114-117,-,MERGED,EXPLICIT,EV-10.114-123,ok,ok,ok,none,-,APPLIED,-,CASE-10.114-002,CASE-10.114-002,-,explicit 'same_sample' citing figure 3
10.1149_2.067203jes,CAND-10.114-044,CAND-10.114-117,-,MERGED,EXPLICIT,EV-10.114-124,ok,ok,ok,none,-,APPLIED,-,CASE-10.114-002,CASE-10.114-002,-,explicit 'same_sample' citing figure 3
10.1149_2.067203jes,CAND-10.114-085,CAND-10.114-093,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.114-132,ok,ok,ok,none,-,APPLIED,-,CASE-10.114-044,CASE-10.114-044,-,"panels a/b of figure 5 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=SiO2) = 50"
10.1149_2.067203jes,CAND-10.114-086,CAND-10.114-094,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.114-125,ok,ok,ok,none,-,APPLIED,-,CASE-10.114-045,CASE-10.114-045,-,"panels a/b of figure 5 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=SiO2) = 100"
10.1149_2.067203jes,CAND-10.114-087,CAND-10.114-095,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.114-126,ok,ok,ok,none,-,APPLIED,-,CASE-10.114-046,CASE-10.114-046,-,"panels a/b of figure 5 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=SiO2) = 150"
10.1149_2.067203jes,CAND-10.114-088,CAND-10.114-096,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.114-127,ok,ok,ok,none,-,APPLIED,-,CASE-10.114-047,CASE-10.114-047,-,"panels a/b of figure 5 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=SiO2) = 200"
10.1149_2.067203jes,CAND-10.114-089,CAND-10.114-097,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.114-128,ok,ok,ok,none,-,APPLIED,-,CASE-10.114-048,CASE-10.114-048,-,"panels a/b of figure 5 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=SiO2) = 250"
10.1149_2.067203jes,CAND-10.114-090,CAND-10.114-098,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.114-129,ok,ok,ok,none,-,APPLIED,-,CASE-10.114-049,CASE-10.114-049,-,"panels a/b of figure 5 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=SiO2) = 300"
10.1149_2.067203jes,CAND-10.114-091,CAND-10.114-099,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.114-130,ok,ok,ok,none,-,APPLIED,-,CASE-10.114-050,CASE-10.114-050,-,"panels a/b of figure 5 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=SiO2) = 350"
10.1149_2.067203jes,CAND-10.114-092,CAND-10.114-100,DESIGN_IDENTITY,MERGED,SUPPORTED,EV-10.114-131,ok,ok,ok,none,-,APPLIED,-,CASE-10.114-051,CASE-10.114-051,-,"panels a/b of figure 5 plot different outputs at the same design branch (q=deposition_temperature, step=n/a, unit=°C, material=SiO2) = 400"
10.1149_2.067203jes,CAND-10.114-045,CAND-10.114-067,DESIGN_IDENTITY,BLOCKED,SUPPORTED,-,BLOCKED,ok,ok,none,-,DESIGN_IDENTITY_BLOCK,-,CASE-10.114-004,CASE-10.114-026,-,same branch value 0.01 in figure 4 but not the same design: material differs: 'SiO2' vs 'Al2O3'
10.1149_2.067203jes,CAND-10.114-046,CAND-10.114-068,DESIGN_IDENTITY,BLOCKED,SUPPORTED,-,BLOCKED,ok,ok,none,-,DESIGN_IDENTITY_BLOCK,-,CASE-10.114-005,CASE-10.114-027,-,same branch value 0.02 in figure 4 but not the same design: material differs: 'SiO2' vs 'Al2O3'
